Cancer_Group_Site,Year,Sex,State_Territory,Count
Melanoma of the skin,2018.0,Females,Tasmania,196.0
Melanoma of the skin,2018.0,Females,Australian Capital Territory,81.0
Melanoma of the skin,2018.0,Females,Northern Territory,30.0
Melanoma of the skin,2018.0,Females,Australia,6315.0
Melanoma of the skin,2018.0,Persons,New South Wales,5005.0
Melanoma of the skin,2018.0,Persons,Victoria,3078.0
Melanoma of the skin,2018.0,Persons,Queensland,4072.0
Melanoma of the skin,2018.0,Persons,Western Australia,1484.0
Melanoma of the skin,2018.0,Persons,South Australia,785.0
Melanoma of the skin,2018.0,Persons,Tasmania,401.0
Melanoma of the skin,2018.0,Persons,Australian Capital Territory,195.0
Melanoma of the skin,2018.0,Persons,Northern Territory,83.0
Melanoma of the skin,2018.0,Persons,Australia,15123.0
Melanoma of the skin,2019.0,Males,New South Wales,3012.0
Melanoma of the skin,2019.0,Males,Victoria,1632.0
Melanoma of the skin,2019.0,Males,Queensland,2601.0
Melanoma of the skin,2019.0,Males,Western Australia,945.0
Melanoma of the skin,2019.0,Males,South Australia,545.0
Melanoma of the skin,2019.0,Males,Tasmania,224.0
Melanoma of the skin,2019.0,Males,Australian Capital Territory,120.0
Melanoma of the skin,2019.0,Males,Northern Territory,55.0
Melanoma of the skin,2019.0,Males,Australia,9135.0
Melanoma of the skin,2019.0,Females,New South Wales,2077.0
Melanoma of the skin,2019.0,Females,Victoria,1202.0
Melanoma of the skin,2019.0,Females,Queensland,1845.0
Melanoma of the skin,2019.0,Females,Western Australia,676.0
Melanoma of the skin,2019.0,Females,South Australia,357.0
Melanoma of the skin,2019.0,Females,Tasmania,188.0
Melanoma of the skin,2019.0,Females,Australian Capital Territory,86.0
Melanoma of the skin,2019.0,Females,Northern Territory,33.0
Melanoma of the skin,2019.0,Females,Australia,6491.0
Melanoma of the skin,2019.0,Persons,New South Wales,5089.0
Melanoma of the skin,2019.0,Persons,Victoria,2834.0
Melanoma of the skin,2019.0,Persons,Queensland,4446.0
Melanoma of the skin,2019.0,Persons,Western Australia,1621.0
Melanoma of the skin,2019.0,Persons,South Australia,902.0
Melanoma of the skin,2019.0,Persons,Tasmania,412.0
Melanoma of the skin,2019.0,Persons,Australian Capital Territory,205.0
Melanoma of the skin,2019.0,Persons,Northern Territory,88.0
Melanoma of the skin,2019.0,Persons,Australia,15626.0
Melanoma of the skin,2020.0,Males,New South Wales,2894.0
Melanoma of the skin,2020.0,Males,Victoria,1493.0
Melanoma of the skin,2020.0,Males,Queensland,2408.0
Melanoma of the skin,2020.0,Males,Western Australia,817.0
Melanoma of the skin,2020.0,Males,South Australia,544.0
Melanoma of the skin,2020.0,Males,Tasmania,221.0
Melanoma of the skin,2020.0,Males,Australian Capital Territory,120.0
Melanoma of the skin,2020.0,Males,Northern Territory,55.0
Melanoma of the skin,2020.0,Males,Australia,8546.0
Melanoma of the skin,2020.0,Females,New South Wales,2024.0
Melanoma of the skin,2020.0,Females,Victoria,1093.0
Melanoma of the skin,2020.0,Females,Queensland,1761.0
Melanoma of the skin,2020.0,Females,Western Australia,597.0
Melanoma of the skin,2020.0,Females,South Australia,347.0
Melanoma of the skin,2020.0,Females,Tasmania,205.0
Melanoma of the skin,2020.0,Females,Australian Capital Territory,85.0
Melanoma of the skin,2020.0,Females,Northern Territory,33.0
Melanoma of the skin,2020.0,Females,Australia,6135.0
Melanoma of the skin,2020.0,Persons,New South Wales,4918.0
Melanoma of the skin,2020.0,Persons,Victoria,2586.0
Melanoma of the skin,2020.0,Persons,Queensland,4169.0
Melanoma of the skin,2020.0,Persons,Western Australia,1417.0
Melanoma of the skin,2020.0,Persons,South Australia,891.0
Melanoma of the skin,2020.0,Persons,Tasmania,428.0
Melanoma of the skin,2020.0,Persons,Australian Capital Territory,205.0
Melanoma of the skin,2020.0,Persons,Northern Territory,88.0
Melanoma of the skin,2020.0,Persons,Australia,14686.0
